FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.14630466,14630466,POINT (16.516002612641877 48.20979216978274),Duchekgasse (Bambergergasse),Duchekgasse (Bambergergasse),98A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Duchekgasse&start=1,
OEFFHALTESTOGD.14630467,14630467,POINT (16.51877841246327 48.20866666956547),Duchekgasse (Kirschenallee),Duchekgasse (Kirschenallee),98A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Duchekgasse&start=1,
OEFFHALTESTOGD.14630468,14630468,POINT (16.355635412289597 48.24426826981023),Barawitzkagasse,Barawitzkagasse,37,,1,https://anachb.vor.at?P=SQ&input=Wien%20Barawitzkagasse&start=1,
OEFFHALTESTOGD.14630469,14630469,POINT (16.35665941204798 48.24454946963268),Barawitzkagasse,Barawitzkagasse,"10A,39A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Barawitzkagasse&start=1,
OEFFHALTESTOGD.14630470,14630470,POINT (16.355725212301923 48.244902469471555),Barawitzkagasse,Barawitzkagasse,37,,1,https://anachb.vor.at?P=SQ&input=Wien%20Barawitzkagasse&start=1,
OEFFHALTESTOGD.14630471,14630471,POINT (16.35534791218303 48.24478876964548),Barawitzkagasse,Barawitzkagasse,"10A,39A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Barawitzkagasse&start=1,
OEFFHALTESTOGD.14630472,14630472,POINT (16.394900712613833 48.19836276959575),Barichgasse,Barichgasse,74A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Barichgasse&start=1,
OEFFHALTESTOGD.14630473,14630473,POINT (16.39486481280851 48.198111369440554),Barichgasse,Barichgasse,74A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Barichgasse&start=1,
OEFFHALTESTOGD.14638241,14638241,POINT (16.301538813035368 48.147249769613296),Josef-Österreicher-Gasse,Josef-Österreicher-Gasse,"60A,66A,N66",,10,https://anachb.vor.at?P=SQ&input=Wien%20Josef-Österreicher-Gasse&start=1,
OEFFHALTESTOGD.14638242,14638242,POINT (16.301538813035368 48.147249769613296),Josef-Österreicher-Gasse,Josef-Österreicher-Gasse,"60A,66A,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20Josef-Österreicher-Gasse&start=1,
OEFFHALTESTOGD.14638243,14638243,POINT (16.35386571318605 48.14779526945786),Inzersdorf Friedhof (Draschestraße),Inzersdorf Friedhof (Draschestraße),"66A,N66",,10,https://anachb.vor.at?P=SQ&input=Wien%20Inzersdorf%20Friedhof&start=1,
OEFFHALTESTOGD.14638244,14638244,POINT (16.35386571318605 48.14779526945786),Inzersdorf Friedhof (Draschestraße),Inzersdorf Friedhof (Draschestraße),"66A,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20Inzersdorf%20Friedhof&start=1,
OEFFHALTESTOGD.14638245,14638245,POINT (16.34995801275957 48.1477472698291),Inzersdorf Friedhof (Haupteingang),Inzersdorf Friedhof (Haupteingang),"16A,66A,67A,N66",,10,https://anachb.vor.at?P=SQ&input=Wien%20Inzersdorf%20Friedhof&start=1,
OEFFHALTESTOGD.14638246,14638246,POINT (16.34995801275957 48.1477472698291),Inzersdorf Friedhof (Haupteingang),Inzersdorf Friedhof (Haupteingang),"16A,66A,67A,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20Inzersdorf%20Friedhof&start=1,
